year,state_po,county,candidate,party,candidatevotes,totalvotes
2000,AL,Autauga,Al Gore,democrat,4942,17208
2000,AL,Autauga,George W. Bush,republican,11993,17208
2000,AL,Autauga,Ralph Nader,green,160,17208
2000,AL,Autauga,Other,NA,113,17208
2000,AL,Baldwin,Al Gore,democrat,13997,56480
2000,AL,Baldwin,George W. Bush,republican,40872,56480
2000,AL,Baldwin,Ralph Nader,green,1033,56480
2000,AL,Baldwin,Other,NA,578,56480
2000,AL,Barbour,Al Gore,democrat,5188,10395
2000,AL,Barbour,George W. Bush,republican,5096,10395
2000,AL,Barbour,Ralph Nader,green,46,10395
2000,AL,Barbour,Other,NA,65,10395
2000,AL,Bibb,Al Gore,democrat,2710,7101
2000,AL,Bibb,George W. Bush,republican,4273,7101
2000,AL,Bibb,Ralph Nader,green,52,7101
2000,AL,Bibb,Other,NA,66,7101
2000,AL,Blount,Al Gore,democrat,4977,17973
2000,AL,Blount,George W. Bush,republican,12667,17973
2000,AL,Blount,Ralph Nader,green,154,17973
2000,AL,Blount,Other,NA,175,17973
2000,AL,Bullock,Al Gore,democrat,3395,4904
2000,AL,Bullock,George W. Bush,republican,1433,4904
2000,AL,Bullock,Ralph Nader,green,24,4904
2000,AL,Bullock,Other,NA,52,4904
2000,AL,Butler,Al Gore,democrat,3606,7803
2000,AL,Butler,George W. Bush,republican,4127,7803
2000,AL,Butler,Ralph Nader,green,36,7803
2000,AL,Butler,Other,NA,34,7803
2000,AL,Calhoun,Al Gore,democrat,15781,38909
2000,AL,Calhoun,George W. Bush,republican,22306,38909
2000,AL,Calhoun,Ralph Nader,green,481,38909
2000,AL,Calhoun,Other,NA,341,38909
2000,AL,Chambers,Al Gore,democrat,5616,11834
2000,AL,Chambers,George W. Bush,republican,6037,11834
2000,AL,Chambers,Ralph Nader,green,95,11834
2000,AL,Chambers,Other,NA,86,11834
2000,AL,Cherokee,Al Gore,democrat,3497,7823
2000,AL,Cherokee,George W. Bush,republican,4154,7823
2000,AL,Cherokee,Ralph Nader,green,77,7823
2000,AL,Cherokee,Other,NA,95,7823
2000,AL,Chilton,Al Gore,democrat,4806,15092
2000,AL,Chilton,George W. Bush,republican,10066,15092
2000,AL,Chilton,Ralph Nader,green,92,15092
2000,AL,Chilton,Other,NA,128,15092
2000,AL,Choctaw,Al Gore,democrat,3707,7374
2000,AL,Choctaw,George W. Bush,republican,3600,7374
2000,AL,Choctaw,Ralph Nader,green,33,7374
2000,AL,Choctaw,Other,NA,34,7374
2000,AL,Clarke,Al Gore,democrat,4679,10752
2000,AL,Clarke,George W. Bush,republican,5988,10752
2000,AL,Clarke,Ralph Nader,green,33,10752
2000,AL,Clarke,Other,NA,52,10752
2000,AL,Clay,Al Gore,democrat,2045,5883
2000,AL,Clay,George W. Bush,republican,3719,5883
2000,AL,Clay,Ralph Nader,green,52,5883
2000,AL,Clay,Other,NA,67,5883
2000,AL,Cleburne,Al Gore,democrat,1664,5092
2000,AL,Cleburne,George W. Bush,republican,3333,5092
2000,AL,Cleburne,Ralph Nader,green,39,5092
2000,AL,Cleburne,Other,NA,56,5092
2000,AL,Coffee,Al Gore,democrat,5220,15434
