year,state_po,candidate,party,candidatevotes,totalvotes
1976,AL,"Carter, Jimmy",democrat,659170,1182850
1976,AL,"Ford, Gerald",republican,504070,1182850
1976,AL,"Maddox, Lester",american independent party,9198,1182850
1976,AL,"Bubar, Benjamin",prohibition,6669,1182850
1976,AL,"Hall, Gus",communist party use,1954,1182850
1976,AL,"Macbride, Roger",libertarian,1481,1182850
1976,AL,,,308,1182850
1976,AK,"Ford, Gerald",republican,71555,123574
1976,AK,"Carter, Jimmy",democrat,44058,123574
1976,AK,"Macbride, Roger",libertarian,6785,123574
1976,AK,,,1176,123574
1976,AZ,"Ford, Gerald",republican,418642,742719
1976,AZ,"Carter, Jimmy",democrat,295602,742719
1976,AZ,"McCarthy, Eugene """"Gene""""",independent,19229,742719
1976,AZ,"Macbride, Roger",libertarian,7647,742719
1976,AZ,"Camejo, Peter",socialist workers,928,742719
1976,AZ,"Anderson, Thomas J.",american,564,742719
1976,AZ,"Maddox, Lester",american independent party,85,742719
1976,AZ,,,22,742719
1976,AR,"Carter, Jimmy",democrat,498604,767535
1976,AR,"Ford, Gerald",republican,267903,767535
1976,AR,,independent,639,767535
1976,AR,"Maddox, Lester",american independent party,389,767535
1976,CA,"Ford, Gerald",republican,3882244,7803770
1976,CA,"Carter, Jimmy",democrat,3742284,7803770
1976,CA,"Macbride, Roger",independent,56388,7803770
1976,CA,"Maddox, Lester",american independent party,51098,7803770
1976,CA,"Wright, Margaret",peace & freedom,41731,7803770
1976,CA,"Camejo, Peter",independent,17259,7803770
1976,CA,"Hall, Gus",independent,12766,7803770
1976,CO,"Ford, Gerald",republican,584278,1081440
1976,CO,"Carter, Jimmy",democrat,460801,1081440
1976,CO,"McCarthy, Eugene """"Gene""""",independent,26047,1081440
1976,CO,"Macbride, Roger",libertarian,5338,1081440
1976,CO,"Bubar, Benjamin """"Ben""""",prohibition,2886,1081440
1976,CO,"Camejo, Peter",socialist workers,1122,1081440
1976,CO,"Larouche, Lyndon, Jr.",u.s. labor,565,1081440
1976,CO,"Hall, Gus",communist party use,403,1081440
1976,CT,"Ford, Gerald",republican,719261,1386355
1976,CT,"Carter, Jimmy",democrat,647895,1386355
1976,CT,Scattering,,10309,1386355
1976,CT,"Maddox, Lester",american independent party,7101,1386355
1976,CT,"Larouche, Lyndon, Jr.",u.s. labor,1789,1386355
1976,DE,"Carter, Jimmy",democrat,122461,235642
1976,DE,"Ford, Gerald",republican,109780,235642
1976,DE,,no party affiliation,2432,235642
1976,DE,"Anderson, Thomas J.",american,645,235642
1976,DE,"Larouche, Lyndon, Jr.",u.s. labor,135,235642
1976,DE,"Bubar, Benjamin """"Ben""""",prohibition,103,235642
1976,DE,,socialist labor,86,235642
1976,DC,"Carter, Jimmy",democrat,137818,168830
1976,DC,"Ford, Gerald",republican,27873,168830
1976,DC,Other,,1656,168830
1976,DC,,independent,1195,168830
1976,DC,,,288,168830
1976,FL,"Carter, Jimmy",democrat,1636000,3150631
1976,FL,"Ford, Gerald",republican,1469531,3150631
1976,FL,"McCarthy, Eugene """"Gene""""",independent,23643,3150631
1976,FL,"Anderson, Thomas J.",american,21325,3150631
1976,FL,,,132,3150631
1976,GA,"Carter, Jimmy",democrat,979409,1463152
1976,GA,"Ford, Gerald",republican,483743,1463152
1976,HI,"Carter, Jimmy",democrat,147375,291301
1976,HI,"Ford, Gerald",republican,140003,291301
1976,HI,"Macbride, Roger",libertarian,3923,291301
1976,ID,"Ford, Gerald",republican,204151,340932
1976,ID,"Carter, Jimmy",democrat,126549,340932
1976,ID,"Maddox, Lester",american,5935,340932
1976,ID,"Macbride, Roger",libertarian,3558,340932
1976,ID,"Larouche, Lyndon, Jr.",u.s. labor,739,340932
1976,IL,"Ford, Gerald",republican,2364269,4721282
1976,IL,"Carter, Jimmy",democrat,2271295,4721282
1976,IL,"McCarthy, Eugene """"Gene""""",independent,55939,4721282
1976,IL,"Hall, Gus",communist party use,9250,4721282
1976,IL,"Macbride, Roger",libertarian,8057,4721282
1976,IL,,,4417,4721282
1976,IL,"Camejo, Peter",socialist workers,3615,4721282
1976,IL,"Julius """"Jules"""", Levin",socialist labor,2422,4721282
1976,IL,"Larouche, Lyndon, Jr.",u.s. labor,2018,4721282
1976,IN,"Ford, Gerald",republican,1183958,2220362
1976,IN,"Carter, Jimmy",democrat,1014714,2220362
1976,IN,"Anderson, Thomas J.",american,14048,2220362
1976,IN,"Camejo, Peter",socialist workers,5695,2220362
1976,IN,"Larouche, Lyndon, Jr.",u.s. labor,1947,2220362
1976,IA,"Ford, Gerald",republican,632864,1279303
1976,IA,"Carter, Jimmy",democrat,619931,1279303
1976,IA,"McCarthy, Eugene """"Gene""""",independent,20057,1279303
1976,IA,"Anderson, Thomas J.",american party of iowa,3041,1279303
1976,IA,"Macbride, Roger",libertarian,1454,1279303
1976,IA,"Hall, Gus",communist party use,551,1279303
1976,IA,Scattering,,509,1279303
1976,IA,"Camejo, Peter",socialist workers,262,1279303
1976,IA,"Larouche, Lyndon, Jr.",u.s. labor,241,1279303
1976,IA,"Zeidler, Frank",socialist u.s.a.,233,1279303
1976,IA,"Julius """"Jules"""", Levin",socialist labor,160,1279303
1976,KS,"Ford, Gerald",republican,502752,957845
1976,KS,"Carter, Jimmy",democrat,430421,957845
1976,KS,"McCarthy, Eugene """"Gene""""",independent,13185,957845
1976,KS,"Anderson, Thomas J.",american,4724,957845
1976,KS,"Macbride, Roger",independent,3242,957845
1976,KS,"Maddox, Lester",conservative,2118,957845
1976,KS,"Bubar, Benjamin """"Ben""""",prohibition,1403,957845
1976,KY,"Carter, Jimmy",democrat,615717,1167142
1976,KY,"Ford, Gerald",republican,531852,1167142
1976,KY,"Anderson, Thomas J.",american,8308,1167142
1976,KY,"McCarthy, Eugene """"Gene""""",independent,6837,1167142
1976,KY,"Maddox, Lester",american independent party,2328,1167142
1976,KY,"Macbride, Roger",libertarian,814,1167142
1976,KY,"Larouche, Lyndon, Jr.",u.s. labor,510,1167142
1976,KY,"Hall, Gus",communist party use,426,1167142
1976,KY,"Camejo, Peter",socialist workers,350,1167142
1976,LA,"Carter, Jimmy",democrat,661365,1277383
1976,LA,"Ford, Gerald",republican,587446,1277383
