COUNTY,PREDICTION_RATE
Autauga,AL,0.4
Baldwin,AL,0.6
Barbour,AL,0.6
Bibb,AL,0.6
Blount,AL,0.6
Bullock,AL,0.4
Butler,AL,0.6
Calhoun,AL,0.6
Chambers,AL,0.6
Cherokee,AL,0.6
Chilton,AL,0.4
Choctaw,AL,0.4
Clarke,AL,0.6
Clay,AL,0.6
Cleburne,AL,0.6
Coffee,AL,0.6
Colbert,AL,0.6
Conecuh,AL,0.6
Coosa,AL,0.6
Covington,AL,0.6
Crenshaw,AL,0.6
Cullman,AL,0.4
Dale,AL,0.4
Dallas,AL,0.6
DeKalb,AL,0.4
Elmore,AL,0.4
Escambia,AL,0.6
Etowah,AL,0.6
Fayette,AL,0.6
Franklin,AL,0.6
Geneva,AL,0.6
Greene,AL,0.6
Hale,AL,0.4
Henry,AL,0.6
Houston,AL,0.2
Jackson,AL,0.4
Jefferson,AL,0.8
Lamar,AL,0.6
Lauderdale,AL,0.4
Lawrence,AL,0.2
Lee,AL,0.6
Limestone,AL,0.4
Lowndes,AL,0.4
Macon,AL,0.4
Madison,AL,0.6
Marengo,AL,0.6
Marion,AL,0.4
Marshall,AL,0.6
Mobile,AL,0.6
Monroe,AL,0.6
Montgomery,AL,0.4
Morgan,AL,0.6
Perry,AL,0.4
Pickens,AL,0.6
Pike,AL,0.6
Randolph,AL,0.6
Russell,AL,0.0
St. Clair,AL,0.4
Shelby,AL,0.6
Sumter,AL,0.4
Talladega,AL,0.6
Tallapoosa,AL,0.6
Tuscaloosa,AL,0.6
Walker,AL,0.6
Washington,AL,0.6
Wilcox,AL,0.4
Winston,AL,0.6
Apache,AZ,0.6
Cochise,AZ,0.6
Coconino,AZ,0.4
Gila,AZ,0.6
Graham,AZ,0.6
Greenlee,AZ,0.6
La Paz,AZ,0.6
Maricopa,AZ,0.6
Mohave,AZ,0.6
Navajo,AZ,0.6
Pima,AZ,0.4
Pinal,AZ,0.6
Santa Cruz,AZ,0.6
Yavapai,AZ,0.6
Yuma,AZ,0.6
Arkansas,AR,0.6
Ashley,AR,0.4
Baxter,AR,0.6
Benton,AR,0.6
Boone,AR,0.8
Bradley,AR,0.2
Calhoun,AR,0.6
Carroll,AR,0.6
Chicot,AR,0.4
Clark,AR,0.2
Clay,AR,0.2
Cleburne,AR,0.6
Cleveland,AR,0.8
Columbia,AR,0.6
Conway,AR,0.6
Craighead,AR,0.4
Crawford,AR,0.4
Crittenden,AR,0.2
Cross,AR,0.4
Dallas,AR,0.4
Desha,AR,0.4
Drew,AR,0.4
Faulkner,AR,0.6
Franklin,AR,0.6
Fulton,AR,0.6
Garland,AR,0.6
Grant,AR,0.6
Greene,AR,0.2
Hempstead,AR,0.2
Hot Spring,AR,0.4
Howard,AR,0.6
Independence,AR,0.6
Izard,AR,0.4
Jackson,AR,0.2
Jefferson,AR,0.6
Johnson,AR,0.6
Lafayette,AR,0.4
Lawrence,AR,0.2
Lee,AR,0.4
Lincoln,AR,0.2
Little River,AR,0.2
Logan,AR,0.6
Lonoke,AR,0.4
Madison,AR,0.6
Marion,AR,0.6
Miller,AR,0.6
Mississippi,AR,0.2
Monroe,AR,0.2
Montgomery,AR,0.6
Nevada,AR,0.4
Newton,AR,0.6
Ouachita,AR,0.4
Perry,AR,0.6
Phillips,AR,0.4
Pike,AR,0.6
Poinsett,AR,0.2
Polk,AR,0.6
Pope,AR,0.4
Prairie,AR,0.6
Pulaski,AR,0.4
Randolph,AR,0.2
St. Francis,AR,0.4
Saline,AR,0.6
Scott,AR,0.6
Searcy,AR,0.8
Sebastian,AR,0.6
Sevier,AR,0.6
Sharp,AR,0.6
Stone,AR,0.6
Union,AR,0.6
Van Buren,AR,0.6
Washington,AR,0.6
White,AR,0.4
Woodruff,AR,0.8
Yell,AR,0.6
Alameda,CA,0.6
Alpine,CA,0.6
Amador,CA,0.6
Butte,CA,0.8
Calaveras,CA,0.4
Colusa,CA,0.6
Contra Costa,CA,0.4
Del Norte,CA,0.6
El Dorado,CA,0.6
Fresno,CA,0.6
Glenn,CA,0.6
Humboldt,CA,0.4
Imperial,CA,0.4
Inyo,CA,0.6
Kern,CA,0.4
Kings,CA,0.6
Lake,CA,0.2
Lassen,CA,0.6
Los Angeles,CA,0.4
Madera,CA,0.6
Marin,CA,0.4
Mariposa,CA,0.6
Mendocino,CA,0.2
Merced,CA,0.8
Modoc,CA,0.2
Mono,CA,0.6
Monterey,CA,0.4
Napa,CA,0.4
Nevada,CA,0.6
Orange,CA,0.4
Placer,CA,0.6
Plumas,CA,0.6
Riverside,CA,0.8
Sacramento,CA,0.4
San Benito,CA,0.2
San Bernardino,CA,0.8
San Diego,CA,0.8
San Francisco,CA,0.6
San Joaquin,CA,0.4
San Luis Obispo,CA,0.8
San Mateo,CA,0.6
Santa Barbara,CA,0.4
Santa Clara,CA,0.4
Santa Cruz,CA,0.4
Shasta,CA,0.6
Sierra,CA,0.4
Siskiyou,CA,0.4
Solano,CA,0.4
Sonoma,CA,0.6
Stanislaus,CA,0.8
Sutter,CA,0.2
Tehama,CA,0.4
Trinity,CA,0.8
Tulare,CA,0.6
Tuolumne,CA,0.4
Ventura,CA,0.8
Yolo,CA,0.4
Yuba,CA,0.6
Adams,CO,0.2
Alamosa,CO,0.8
Arapahoe,CO,0.8
Archuleta,CO,0.6
Baca,CO,0.4
Bent,CO,0.4
Boulder,CO,0.4
Chaffee,CO,0.8
Cheyenne,CO,0.6
Clear Creek,CO,0.6
Conejos,CO,0.8
Costilla,CO,0.6
Crowley,CO,0.2
Custer,CO,0.4
Delta,CO,0.8
Denver,CO,0.6
Dolores,CO,0.6
Douglas,CO,0.6
Eagle,CO,0.4
Elbert,CO,0.6
El Paso,CO,0.2
Fremont,CO,0.6
Garfield,CO,0.4
Gilpin,CO,0.4
Grand,CO,0.6
Gunnison,CO,0.6
Hinsdale,CO,0.6
Huerfano,CO,0.8
Jackson,CO,0.6
Jefferson,CO,0.8
Kiowa,CO,0.4
Kit Carson,CO,0.4
Lake,CO,0.4
La Plata,CO,0.6
Larimer,CO,0.8
Las Animas,CO,0.6
Lincoln,CO,0.4
Logan,CO,0.6
Mesa,CO,0.6
Mineral,CO,0.6
Moffat,CO,0.4
Montezuma,CO,0.6
Montrose,CO,0.6
Morgan,CO,0.6
Otero,CO,0.6
Ouray,CO,0.6
Park,CO,0.6
Phillips,CO,0.4
Pitkin,CO,0.4
Prowers,CO,0.6
Pueblo,CO,0.6
Rio Blanco,CO,0.4
Rio Grande,CO,0.6
Routt,CO,0.6
Saguache,CO,0.0
San Juan,CO,0.6
San Miguel,CO,0.2
Sedgwick,CO,0.4
Summit,CO,0.4
Teller,CO,0.6
Washington,CO,0.4
Weld,CO,0.6
Yuma,CO,0.6
Fairfield,CT,0.4
Hartford,CT,0.4
Litchfield,CT,0.6
Middlesex,CT,0.4
New Haven,CT,0.4
New London,CT,0.4
Tolland,CT,0.4
Windham,CT,0.6
Kent,DE,1.0
New Castle,DE,0.6
Sussex,DE,0.6
District of Columbia,DC,0.8
Alachua,FL,0.4
Baker,FL,0.4
Bay,FL,0.6
Bradford,FL,0.6
Brevard,FL,0.4
Broward,FL,0.4
Calhoun,FL,0.6
Charlotte,FL,0.6
Citrus,FL,0.6
Clay,FL,0.6
Collier,FL,0.4
Columbia,FL,0.4
Desoto,FL,0.6
Dixie,FL,0.6
Duval,FL,0.6
Escambia,FL,0.6
Flagler,FL,0.6
Franklin,FL,0.6
Gadsden,FL,0.4
Gilchrist,FL,0.6
Glades,FL,0.6
Gulf,FL,0.6
Hamilton,FL,0.6
Hardee,FL,0.6
Hendry,FL,0.6
Hernando,FL,0.4
Highlands,FL,0.6
